2026-04-26 16:43:28,032 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-26 16:43:28,032 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-26 16:43:50,366 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-26 16:44:57,539 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-26 16:46:27,902 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-26 16:46:27,902 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-26 16:46:33,448 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-04-26 16:46:33,448 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-26 16:46:33,449 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-26 16:46:33,449 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-26 16:46:33,449 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-26 16:46:33,449 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-26 16:46:33,449 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-26 16:46:58,782 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-26 16:54:16,181 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
